County Name,Year,Mean Weighted Nonrenewal,Expected Annual Loss - Buildings,Expected Annual Loss - Total
Imperial County,2019,0.02011197411402208,48677.2388477096,48762.9720944258
Imperial County,2020,0.02268836212981782,48677.2388477096,48762.9720944258
Imperial County,2021,0.018393514619799673,48677.2388477096,48762.9720944258
Imperial County,2022,0.017958819851595878,48677.2388477096,48762.9720944258
Inyo County,2018,0.005771452562835564,304719.257581155,305607.203448453
Inyo County,2019,0.014279163558450535,304719.257581155,305607.203448453
Inyo County,2020,0.006763864892239217,304719.257581155,305607.203448453
Inyo County,2021,0.008005952845475428,304719.257581155,305607.203448453
Inyo County,2022,0.012223648336271629,304719.257581155,305607.203448453
Kern County,2018,0.008551128973259107,27826334.816841,27849354.0983449
Kern County,2019,0.018665154116421584,27826334.816841,27849354.0983449
Kern County,2020,0.015670533626584646,27826334.816841,27849354.0983449
Kern County,2021,0.015235203763668275,27826334.816841,27849354.0983449
Kern County,2022,0.013119252907180011,27826334.816841,27849354.0983449
Kings County,2018,0.003991198278851003,69714.3533736816,69768.4823743504
Kings County,2019,0.00781965833003118,69714.3533736816,69768.4823743504
Kings County,2020,0.009854238757232377,69714.3533736816,69768.4823743504
Kings County,2021,0.008270800631721593,69714.3533736816,69768.4823743504
Kings County,2022,0.009025426275026309,69714.3533736816,69768.4823743504
Lake County,2018,0.005456655000609295,7597077.78114337,7740511.30230288
Lake County,2019,0.018231124065944473,7597077.78114337,7740511.30230288
Lake County,2020,0.0154869991890183,7597077.78114337,7740511.30230288
Lake County,2021,0.009467896334582868,7597077.78114337,7740511.30230288
Lake County,2022,0.021391308335564126,7597077.78114337,7740511.30230288
Lassen County,2018,0.008533272020922121,5229357.43388494,5296691.25072374
Lassen County,2019,0.020469974367880683,5229357.43388494,5296691.25072374
Lassen County,2020,0.02093232504176405,5229357.43388494,5296691.25072374
Lassen County,2021,0.011214845290972891,5229357.43388494,5296691.25072374
Lassen County,2022,0.0269490567850323,5229357.43388494,5296691.25072374
Los Angeles County,2018,0.008210961360214517,108580866.311809,108835471.722514
Los Angeles County,2019,0.013926556539703178,108580866.311809,108835471.722514
Los Angeles County,2020,0.013148771501622013,108580866.311809,108835471.722514
Los Angeles County,2021,0.013563470603696242,108580866.311809,108835471.722514
Los Angeles County,2022,0.013502291172184077,108580866.311809,108835471.722514
Madera County,2018,0.009868898647355382,20091662.4288017,20122138.1223208
Madera County,2019,0.03366761473046366,20091662.4288017,20122138.1223208
Madera County,2020,0.020403962237754304,20091662.4288017,20122138.1223208
Madera County,2021,0.015328751689842223,20091662.4288017,20122138.1223208
Madera County,2022,0.01686424898558479,20091662.4288017,20122138.1223208
Marin County,2018,0.003749361554639061,2435598.94409626,2436547.50665888
Marin County,2019,0.008365521108202625,2435598.94409626,2436547.50665888
Marin County,2020,0.01002525002984967,2435598.94409626,2436547.50665888
Marin County,2021,0.0076998567500952625,2435598.94409626,2436547.50665888
Marin County,2022,0.007880096829936973,2435598.94409626,2436547.50665888
Mariposa County,2018,0.01574362543660601,12261638.432524,12286829.6834334
Mariposa County,2019,0.05742693648074775,12261638.432524,12286829.6834334
Mariposa County,2020,0.047044736015536784,12261638.432524,12286829.6834334
Mariposa County,2021,0.020497154755001225,12261638.432524,12286829.6834334
Mariposa County,2022,0.0458672249602304,12261638.432524,12286829.6834334
Mendocino County,2018,0.003013603700976993,5641942.99250433,5758717.14156726
Mendocino County,2019,0.011514386410102821,5641942.99250433,5758717.14156726
Mendocino County,2020,0.014563528117624232,5641942.99250433,5758717.14156726
Mendocino County,2021,0.010484942628042879,5641942.99250433,5758717.14156726
Mendocino County,2022,0.02340231188375379,5641942.99250433,5758717.14156726
Merced County,2018,0.004022508891734916,1018724.96269137,1019735.99650486
Merced County,2019,0.007577245690309628,1018724.96269137,1019735.99650486
Merced County,2020,0.008408308556217305,1018724.96269137,1019735.99650486
Merced County,2021,0.007771082740119254,1018724.96269137,1019735.99650486
Merced County,2022,0.007684860177149239,1018724.96269137,1019735.99650486
Modoc County,2018,0.0044230317946618155,1259271.15626076,1285721.8393403
Modoc County,2019,0.010468705231281891,1259271.15626076,1285721.8393403
Modoc County,2020,0.00817792361147235,1259271.15626076,1285721.8393403
Modoc County,2021,0.010293183294469287,1259271.15626076,1285721.8393403
Modoc County,2022,0.017473590805028687,1259271.15626076,1285721.8393403
Mono County,2018,0.004290317727650778,1420518.68650431,1424317.35845131
Mono County,2019,0.009592447025696761,1420518.68650431,1424317.35845131
Mono County,2020,0.012457028676298052,1420518.68650431,1424317.35845131
Mono County,2021,0.020160953850231946,1420518.68650431,1424317.35845131
Mono County,2022,0.032954348320289595,1420518.68650431,1424317.35845131
Monterey County,2018,0.00440942272045008,7790929.87821146,7834254.81895703
Monterey County,2019,0.008658179045304977,7790929.87821146,7834254.81895703
Monterey County,2020,0.011485565908365525,7790929.87821146,7834254.81895703
Monterey County,2021,0.01178681225169384,7790929.87821146,7834254.81895703
Monterey County,2022,0.010110959233933016,7790929.87821146,7834254.81895703
Napa County,2018,0.004582470231962682,4105912.22894313,4110262.25739396
Napa County,2019,0.010180087899872797,4105912.22894313,4110262.25739396
Napa County,2020,0.007439428386102354,4105912.22894313,4110262.25739396
Napa County,2021,0.011511391951487588,4105912.22894313,4110262.25739396
Napa County,2022,0.016054255898147508,4105912.22894313,4110262.25739396
Nevada County,2018,0.024349244707073905,13094757.4454528,13101269.374395
Nevada County,2019,0.12223166985106843,13094757.4454528,13101269.374395
Nevada County,2020,0.06778461067691538,13094757.4454528,13101269.374395
Nevada County,2021,0.029596149798649884,13094757.4454528,13101269.374395
Nevada County,2022,0.04706795861485298,13094757.4454528,13101269.374395
Orange County,2018,0.008122232015756495,49416324.0638036,49545002.5810205
Orange County,2019,0.014024098674041795,49416324.0638036,49545002.5810205
Orange County,2020,0.012924204056820961,49416324.0638036,49545002.5810205
Orange County,2021,0.012469549998750067,49416324.0638036,49545002.5810205
Orange County,2022,0.011384383157481835,49416324.0638036,49545002.5810205
Placer County,2018,0.00810396993330933,12592531.6574493,12598434.5030377
Placer County,2019,0.030420013873698474,12592531.6574493,12598434.5030377
Placer County,2020,0.03130347617556174,12592531.6574493,12598434.5030377
Placer County,2021,0.012115243166472122,12592531.6574493,12598434.5030377
Placer County,2022,0.015426919301033295,12592531.6574493,12598434.5030377
Plumas County,2018,0.011407251803473226,7793852.70082354,7840595.2790024
Plumas County,2019,0.033100496995938804,7793852.70082354,7840595.2790024
Plumas County,2020,0.02594593496320316,7793852.70082354,7840595.2790024
Plumas County,2021,0.017949257309625474,7793852.70082354,7840595.2790024
Plumas County,2022,0.035819149498464674,7793852.70082354,7840595.2790024
Riverside County,2018,0.010782571230357968,318822120.464232,319123715.997152
Riverside County,2019,0.035129091461049915,318822120.464232,319123715.997152
Riverside County,2020,0.028436133976600608,318822120.464232,319123715.997152
Riverside County,2021,0.020854805579968154,318822120.464232,319123715.997152
